Points,50m,55m,60m,50mH,55mH,60mH,200m,300m,400m,500m,4x200m,4x400m,600m,800m,1000m,1500m,Mile,2000m,3000m,2 Miles,5000m,HJ,PV,LJ,TJ,SP,Hept.,Pent.
1022,,6.4,6.84,,7.52,8.63,24.67,39.63,55.69,1:13.28,1:40.76,3:47.22,1:32.29,2:10.33,2:48.85,4:26.37,4:47.90,6:05.93,9:31.83,10:15.03,16:26.99,,,,13.06,17.03,5453.0,4191.0
1021,6.54,,,7.36,8.0,,24.68,39.65,55.72,1:13.31,1:40.82,3:47.34,1:32.34,2:10.39,2:48.94,4:26.50,4:48.05,6:06.12,9:32.13,10:15.36,16:27.53,,4.2,7.46,13.05,17.01,5448.0,4187.0
1020,,,,,,,24.69,39.67,55.75,1:13.35,1:40.87,3:47.47,1:32.39,2:10.46,2:49.02,4:26.64,4:48.19,6:06.31,9:32.44,10:15.70,16:28.08,,,6.1,15.64,17.0,5444.0,4184.0
1019,,7.08,7.6,6.89,8.01,8.64,24.71,39.69,55.78,1:13.39,1:40.92,3:47.59,1:32.44,2:10.52,2:49.10,4:26.77,4:48.34,6:06.50,9:32.75,10:16.03,16:28.62,2.12,,7.45,13.04,16.98,5439.0,4180.0
1018,5.94,,,7.37,7.53,,24.72,39.71,55.8,1:13.43,1:40.98,3:47.72,1:32.48,2:10.59,2:49.19,4:26.90,4:48.49,6:06.69,9:33.06,10:16.36,16:29.17,,4.19,6.09,13.03,16.96,5434.0,4176.0
1017,6.55,,,,,8.65,24.73,39.73,55.83,1:13.47,1:41.03,3:47.84,1:32.53,2:10.65,2:49.27,4:27.04,4:48.63,6:06.88,9:33.37,10:16.70,16:29.71,,,,13.02,16.95,5429.0,4172.0
1016,,7.09,7.61,7.38,8.02,,24.74,39.75,55.86,1:13.50,1:41.09,3:47.97,1:32.58,2:10.72,2:49.36,4:27.17,4:48.78,6:07.07,9:33.67,10:17.03,16:30.26,,,6.08,13.01,16.93,5424.0,4169.0
1015,,,,6.9,7.54,8.66,24.75,39.76,55.89,1:13.54,1:41.14,3:48.10,1:32.63,2:10.79,2:49.44,4:27.31,4:48.92,6:07.26,9:33.98,10:17.37,16:30.80,,4.18,,13.0,16.92,5419.0,4165.0
1014,,,,,8.03,,24.76,39.78,55.91,1:13.58,1:41.20,3:48.22,1:32.68,2:10.85,2:49.52,4:27.44,4:49.07,6:07.45,9:34.29,10:17.70,16:31.35,,,6.07,12.99,16.9,5414.0,4161.0
1013,6.56,7.1,7.62,7.39,,8.67,24.77,39.8,55.94,1:13.62,1:41.25,3:48.35,1:32.73,2:10.92,2:49.61,4:27.58,4:49.22,6:07.64,9:34.60,10:18.04,16:31.90,1.79,5.07,,12.98,16.88,5409.0,4157.0
1012,,,,6.91,8.04,8.09,24.78,39.82,55.97,1:13.66,1:41.31,3:48.48,1:32.77,2:10.98,2:49.69,4:27.71,4:49.36,6:07.83,9:34.91,10:18.37,16:32.45,,4.17,6.06,12.97,16.87,5405.0,4153.0
1011,5.95,6.42,6.86,7.4,7.55,8.68,24.79,39.84,56.0,1:13.69,1:41.36,3:48.60,1:32.82,2:11.05,2:49.78,4:27.84,4:49.51,6:08.02,9:35.22,10:18.71,16:32.99,2.11,,,12.96,16.85,5400.0,4150.0
1010,6.57,,7.63,,,,24.81,39.86,56.02,1:13.73,1:41.42,3:48.73,1:32.87,2:11.11,2:49.86,4:27.98,4:49.65,6:08.21,9:35.53,10:19.04,16:33.54,,5.06,6.05,12.95,16.84,5395.0,4146.0
1009,,7.11,,,8.05,8.69,24.82,39.88,56.05,1:13.77,1:41.47,3:48.85,1:32.92,2:11.18,2:49.95,4:28.11,4:49.80,6:08.40,9:35.84,10:19.38,16:34.09,,4.16,,12.94,16.82,5390.0,4142.0
1008,,,,7.41,7.56,,24.83,39.9,56.08,1:13.81,1:41.53,3:48.98,1:32.97,2:11.25,2:50.03,4:28.25,4:49.95,6:08.59,9:36.14,10:19.71,16:34.64,,,7.4,12.93,16.8,5385.0,4138.0
1007,,,7.64,,8.06,8.7,24.84,39.92,56.11,1:13.85,1:41.58,3:49.11,1:33.01,2:11.31,2:50.12,4:28.38,4:50.09,6:08.78,9:36.45,10:20.05,16:35.18,,5.05,6.04,12.92,16.79,5380.0,4135.0
1006,6.58,7.12,6.87,,,8.11,24.85,39.94,56.13,1:13.88,1:41.64,3:49.23,1:33.06,2:11.38,2:50.20,4:28.52,4:50.24,6:08.97,9:36.76,10:20.38,16:35.73,,4.15,7.39,12.91,16.77,5375.0,4131.0
1005,5.96,6.43,,7.42,8.07,8.71,24.86,39.96,56.16,1:13.92,1:41.69,3:49.36,1:33.11,2:11.44,2:50.28,4:28.65,4:50.39,6:09.16,9:37.07,10:20.72,16:36.28,,,6.03,12.9,16.76,5370.0,4127.0
1004,,,7.65,6.93,7.57,,24.87,39.98,56.19,1:13.96,1:41.75,3:49.49,1:33.16,2:11.51,2:50.37,4:28.79,4:50.53,6:09.35,9:37.38,10:21.05,16:36.83,1.78,5.04,7.38,12.89,16.74,5366.0,4123.0
1003,,7.13,,7.43,,8.12,24.88,40.0,56.22,1:14.00,1:41.80,3:49.61,1:33.21,2:11.58,2:50.45,4:28.92,4:50.68,6:09.54,9:37.69,10:21.39,16:37.38,,4.14,6.02,12.88,16.72,5361.0,4120.0
1002,6.59,,,,8.08,8.72,24.9,40.02,56.25,1:14.04,1:41.86,3:49.74,1:33.26,2:11.64,2:50.54,4:29.06,4:50.83,6:09.73,9:38.00,10:21.73,16:37.93,2.1,5.03,,12.87,16.71,5356.0,4116.0
1001,,,6.88,,7.58,,24.91,40.04,56.27,1:14.07,1:41.91,3:49.87,1:33.31,2:11.71,2:50.62,4:29.19,4:50.98,6:09.92,9:38.31,10:22.06,16:38.48,,,6.01,12.86,16.69,5351.0,4112.0
1000,,,7.66,7.44,8.09,8.73,24.92,40.06,56.3,1:14.11,1:41.97,3:49.99,1:33.35,2:11.77,2:50.71,4:29.33,4:51.12,6:10.11,9:38.63,10:22.40,16:39.03,,4.13,,12.85,16.67,5346.0,4108.0
999,6.6,7.14,,,,,24.93,40.07,56.33,1:14.15,1:42.02,3:50.12,1:33.40,2:11.84,2:50.79,4:29.46,4:51.27,6:10.31,9:38.94,10:22.74,16:39.58,,5.02,6.0,12.84,16.66,5341.0,4105.0
998,,,,7.45,8.1,8.74,24.94,40.09,56.36,1:14.19,1:42.08,3:50.25,1:33.45,2:11.91,2:50.88,4:29.60,4:51.42,6:10.50,9:39.25,10:23.08,16:40.13,,,,12.83,16.64,5336.0,4101.0
997,,,7.67,6.95,7.59,8.14,24.95,40.11,56.39,1:14.23,1:42.13,3:50.38,1:33.50,2:11.97,2:50.96,4:29.74,4:51.56,6:10.69,9:39.56,10:23.41,16:40.68,,4.12,7.35,12.82,16.63,5331.0,4097.0
996,,7.15,,,8.11,8.75,24.96,40.13,56.41,1:14.27,1:42.19,3:50.50,1:33.55,2:12.04,2:51.05,4:29.87,4:51.71,6:10.88,9:39.87,10:23.75,16:41.24,,5.01,5.99,12.81,16.61,5327.0,4093.0
995,6.61,,6.89,7.46,,,24.98,40.15,56.44,1:14.30,1:42.24,3:50.63,1:33.60,2:12.10,2:51.13,4:30.01,4:51.86,6:11.07,9:40.18,10:24.09,16:41.79,,,7.34,12.8,16.59,5322.0,4090.0
994,,6.45,7.68,,7.6,8.76,24.99,40.17,56.47,1:14.34,1:42.30,3:50.76,1:33.64,2:12.17,2:51.22,4:30.14,4:52.01,6:11.26,9:40.49,10:24.43,16:42.34,1.77,4.11,5.98,12.79,16.58,5317.0,4086.0
993,5.98,7.16,,7.47,8.12,,25.0,40.19,56.5,1:14.38,1:42.35,3:50.89,1:33.69,2:12.24,2:51.30,4:30.28,4:52.15,6:11.45,9:40.80,10:24.76,16:42.89,2.09,,7.33,12.78,16.56,5312.0,4082.0
992,,,,,,8.77,25.01,40.21,56.52,1:14.42,1:42.41,3:51.01,1:33.74,2:12.30,2:51.39,4:30.41,4:52.30,6:11.65,9:41.12,10:25.10,16:43.44,,,5.97,12.77,16.55,5307.0,4078.0
991,6.62,,7.69,,8.13,8.16,25.02,40.23,56.55,1:14.46,1:42.46,3:51.14,1:33.79,2:12.37,2:51.47,4:30.55,4:52.45,6:11.84,9:41.43,10:25.44,16:44.00,,4.99,7.32,12.76,16.53,5302.0,4074.0
990,,,6.9,7.48,7.61,8.78,25.03,40.25,56.58,1:14.50,1:42.52,3:51.27,1:33.84,2:12.44,2:51.56,4:30.69,4:52.60,6:12.03,9:41.74,10:25.78,16:44.55,,4.1,5.96,12.75,16.51,5297.0,4071.0
989,,7.17,,6.97,8.14,,25.04,40.27,56.61,1:14.53,1:42.57,3:51.40,1:33.89,2:12.50,2:51.64,4:30.82,4:52.75,6:12.22,9:42.05,10:26.12,16:45.10,,,7.31,12.74,16.5,5292.0,4067.0
988,6.63,6.46,7.7,7.49,,8.79,25.05,40.29,56.64,1:14.57,1:42.63,3:51.52,1:33.94,2:12.57,2:51.73,4:30.96,4:52.89,6:12.41,9:42.36,10:26.46,16:45.66,,4.98,5.95,12.73,16.48,5288.0,4063.0
987,5.99,,,,7.62,,25.07,40.31,56.66,1:14.61,1:42.68,3:51.65,1:33.99,2:12.64,2:51.81,4:31.09,4:53.04,6:12.61,9:42.68,10:26.80,16:46.21,,4.09,,12.72,16.47,5283.0,4059.0
986,,7.18,,6.98,8.15,8.8,25.08,40.33,56.69,1:14.65,1:42.74,3:51.78,1:34.03,2:12.70,2:51.90,4:31.23,4:53.19,6:12.80,9:42.99,10:27.14,16:46.77,,4.97,5.94,12.71,16.45,5278.0,4056.0
985,,,7.71,7.5,,8.18,25.09,40.35,56.72,1:14.69,1:42.79,3:51.91,1:34.08,2:12.77,2:51.99,4:31.37,4:53.34,6:12.99,9:43.30,10:27.47,16:47.32,,,,12.7,16.43,5273.0,4052.0
984,6.64,,,,8.16,8.81,25.1,40.37,56.75,1:14.73,1:42.85,3:52.03,1:34.13,2:12.84,2:52.07,4:31.50,4:53.49,6:13.18,9:43.62,10:27.81,16:47.87,1.76,4.08,7.29,12.69,16.42,5268.0,4048.0
983,,7.19,,7.51,7.63,,25.11,40.39,56.78,1:14.76,1:42.90,3:52.16,1:34.18,2:12.90,2:52.16,4:31.64,4:53.64,6:13.38,9:43.93,10:28.15,16:48.43,,4.96,5.93,12.68,16.4,5263.0,4044.0
982,,,7.72,6.99,8.17,8.19,25.12,40.41,56.81,1:14.80,1:42.96,3:52.29,1:34.23,2:12.97,2:52.24,4:31.78,4:53.78,6:13.57,9:44.24,10:28.49,16:48.98,,,7.28,12.67,16.39,5258.0,4041.0
981,6.65,,,,,8.82,25.13,40.43,56.83,1:14.84,1:43.02,3:52.42,1:34.28,2:13.04,2:52.33,4:31.91,4:53.93,6:13.76,9:44.56,10:28.83,16:49.54,,4.07,5.92,12.66,16.37,5253.0,4037.0
980,6.0,,6.92,7.52,8.18,,25.15,40.45,56.86,1:14.88,1:43.07,3:52.55,1:34.33,2:13.10,2:52.41,4:32.05,4:54.08,6:13.95,9:44.87,10:29.17,16:50.10,,4.95,7.27,12.65,16.35,5248.0,4033.0
979,,7.2,,,,8.83,25.16,40.47,56.89,1:14.92,1:43.13,3:52.68,1:34.38,2:13.17,2:52.50,4:32.19,4:54.23,6:14.15,9:45.18,10:29.51,16:50.65,,,5.91,12.64,16.34,5244.0,4029.0
978,,,7.73,7.53,,8.2,25.17,40.49,56.92,1:14.96,1:43.18,3:52.80,1:34.43,2:13.24,2:52.59,4:32.32,4:54.38,6:14.34,9:45.50,10:29.86,16:51.21,,4.06,7.26,12.63,16.32,5239.0,4026.0
977,6.66,6.48,,,8.19,8.84,25.18,40.51,56.95,1:15.00,1:43.24,3:52.93,1:34.48,2:13.30,2:52.67,4:32.46,4:54.53,6:14.53,9:45.81,10:30.20,16:51.77,,4.94,5.9,12.62,16.31,5234.0,4022.0
976,,7.21,,,7.65,,25.19,40.53,56.97,1:15.03,1:43.29,3:53.06,1:34.52,2:13.37,2:52.76,4:32.60,4:54.68,6:14.73,9:46.13,10:30.54,16:52.32,,,7.25,12.61,16.29,5229.0,4018.0
975,,,7.74,7.54,8.2,8.85,25.2,40.55,57.0,1:15.07,1:43.35,3:53.19,1:34.57,2:13.44,2:52.84,4:32.73,4:54.83,6:14.92,9:46.44,10:30.88,16:52.88,2.07,4.05,5.89,12.6,16.27,5224.0,4014.0
974,6.01,,,,,,25.21,40.56,57.03,1:15.11,1:43.41,3:53.32,1:34.62,2:13.50,2:52.93,4:32.87,4:54.97,6:15.11,9:46.76,10:31.22,16:53.44,1.75,,,12.59,16.26,5219.0,4010.0
973,6.67,7.22,,7.55,8.21,8.86,25.23,40.58,57.06,1:15.15,1:43.46,3:53.45,1:34.67,2:13.57,2:53.01,4:33.01,4:55.12,6:15.31,9:47.07,10:31.56,16:54.00,,,5.88,12.58,16.24,5214.0,4007.0
972,,6.49,7.75,,,8.22,25.24,40.6,57.09,1:15.19,1:43.52,3:53.58,1:34.72,2:13.64,2:53.10,4:33.15,4:55.27,6:15.50,9:47.39,10:31.90,16:54.55,,4.04,,12.57,16.23,5209.0,4003.0
971,,,,7.02,8.22,8.87,25.25,40.62,57.12,1:15.23,1:43.57,3:53.70,1:34.77,2:13.70,2:53.19,4:33.28,4:55.42,6:15.70,9:47.70,10:32.24,16:55.11,,,7.23,12.56,16.21,5204.0,3999.0
970,6.68,7.23,,7.56,7.67,,25.26,40.64,57.14,1:15.27,1:43.63,3:53.83,1:34.82,2:13.77,2:53.27,4:33.42,4:55.57,6:15.89,9:48.02,10:32.59,16:55.67,,,5.87,12.55,16.19,5200.0,3995.0
969,,,7.76,,,8.88,25.27,40.66,57.17,1:15.31,1:43.68,3:53.96,1:34.87,2:13.84,2:53.36,4:33.56,4:55.72,6:16.08,9:48.33,10:32.93,16:56.23,,4.03,7.22,12.54,16.18,5195.0,3992.0
968,6.02,,,,8.23,,25.28,40.68,57.2,1:15.34,1:43.74,3:54.09,1:34.92,2:13.91,2:53.45,4:33.69,4:55.87,6:16.28,9:48.65,10:33.27,16:56.79,,,5.86,12.53,16.16,5190.0,3988.0
967,,,,7.57,,8.89,25.29,40.7,57.23,1:15.38,1:43.80,3:54.22,1:34.97,2:13.97,2:53.53,4:33.83,4:56.02,6:16.47,9:48.96,10:33.61,16:57.35,2.06,4.9,7.21,12.52,16.14,5185.0,3984.0
966,6.69,7.24,7.77,,8.24,8.24,25.31,40.72,57.26,1:15.42,1:43.85,3:54.35,1:35.02,2:14.04,2:53.62,4:33.97,4:56.17,6:16.67,9:49.28,10:33.96,16:57.91,,4.02,5.85,12.51,16.13,5180.0,3980.0
965,,,,7.58,,8.9,25.32,40.74,57.29,1:15.46,1:43.91,3:54.48,1:35.07,2:14.11,2:53.70,4:34.11,4:56.32,6:16.86,9:49.60,10:34.30,16:58.47,1.74,,7.2,12.5,16.11,5175.0,3977.0
964,,,6.95,7.04,8.25,,25.33,40.76,57.31,1:15.50,1:43.96,3:54.61,1:35.12,2:14.18,2:53.79,4:34.25,4:56.47,6:17.06,9:49.91,10:34.64,16:59.03,,4.89,5.84,12.49,16.1,5170.0,3973.0
963,6.7,7.25,7.78,,7.69,8.91,25.34,40.78,57.34,1:15.54,1:44.02,3:54.74,1:35.16,2:14.24,2:53.88,4:34.38,4:56.62,6:17.25,9:50.23,10:34.99,16:59.59,,4.01,7.19,12.48,16.08,5165.0,3969.0
962,6.03,,,7.59,,,25.35,40.8,57.37,1:15.58,1:44.08,3:54.87,1:35.21,2:14.31,2:53.96,4:34.52,4:56.77,6:17.44,9:50.55,10:35.33,17:00.15,,,5.83,12.47,16.06,5160.0,3965.0
961,,6.51,,,8.26,8.92,25.36,40.82,57.4,1:15.62,1:44.13,3:55.00,1:35.26,2:14.38,2:54.05,4:34.66,4:56.92,6:17.64,9:50.86,10:35.67,17:00.71,,4.88,7.18,12.46,16.05,5156.0,3961.0
960,,7.26,7.79,7.6,,8.26,25.37,40.84,57.43,1:15.66,1:44.19,3:55.13,1:35.31,2:14.44,2:54.14,4:34.80,4:57.07,6:17.83,9:51.18,10:36.02,17:01.28,,4.0,5.82,12.45,16.03,5151.0,3958.0
959,6.71,,6.96,,8.27,8.93,25.39,40.86,57.46,1:15.69,1:44.24,3:55.26,1:35.36,2:14.51,2:54.22,4:34.94,4:57.22,6:18.03,9:51.50,10:36.36,17:01.84,,4.87,,12.44,16.02,5146.0,3954.0
958,,,,7.61,,,25.4,40.88,57.48,1:15.73,1:44.30,3:55.39,1:35.41,2:14.58,2:54.31,4:35.07,4:57.37,6:18.22,9:51.81,10:36.70,17:02.40,2.05,,7.17,12.43,16.0,5141.0,3950.0
957,,7.27,7.8,7.06,8.28,8.27,25.41,40.9,57.51,1:15.77,1:44.36,3:55.52,1:35.46,2:14.65,2:54.40,4:35.21,4:57.52,6:18.42,9:52.13,10:37.05,17:02.96,,3.99,5.81,12.42,15.98,5136.0,3946.0
956,6.72,,,,7.71,8.94,25.42,40.92,57.54,1:15.81,1:44.41,3:55.65,1:35.51,2:14.72,2:54.48,4:35.35,4:57.67,6:18.61,9:52.45,10:37.39,17:03.52,,4.86,7.16,12.41,15.97,5131.0,3943.0
955,,6.52,,7.62,8.29,,25.43,40.94,57.57,1:15.85,1:44.47,3:55.78,1:35.56,2:14.78,2:54.57,4:35.49,4:57.82,6:18.81,9:52.77,10:37.74,17:04.09,1.73,,5.8,12.4,15.95,5126.0,3939.0
954,,,7.81,,,8.95,25.44,40.96,57.6,1:15.89,1:44.53,3:55.91,1:35.61,2:14.85,2:54.66,4:35.63,4:57.97,6:19.01,9:53.08,10:38.08,17:04.65,,3.98,7.15,12.39,15.94,5121.0,3935.0
953,,7.28,,7.63,7.72,,25.46,40.98,57.63,1:15.93,1:44.58,3:56.04,1:35.66,2:14.92,2:54.74,4:35.77,4:58.12,6:19.20,9:53.40,10:38.43,17:05.22,,4.85,5.79,12.38,15.92,5116.0,3931.0
952,6.73,,,,8.3,8.96,25.47,41.0,57.65,1:15.97,1:44.64,3:56.17,1:35.71,2:14.99,2:54.83,4:35.90,4:58.27,6:19.40,9:53.72,10:38.77,17:05.78,,,7.14,12.37,15.9,5112.0,3927.0
951,,,,,,8.29,25.48,41.02,57.68,1:16.01,1:44.69,3:56.30,1:35.76,2:15.05,2:54.92,4:36.04,4:58.43,6:19.59,9:54.04,10:39.12,17:06.34,,3.97,5.78,12.36,15.89,5107.0,3924.0
950,6.05,6.53,7.82,7.64,8.31,8.97,25.49,41.04,57.71,1:16.05,1:44.75,3:56.43,1:35.81,2:15.12,2:55.00,4:36.18,4:58.58,6:19.79,9:54.36,10:39.46,17:06.91,,,7.13,12.35,15.87,5102.0,3920.0
949,,,6.98,7.08,7.73,,25.5,41.06,57.74,1:16.09,1:44.81,3:56.56,1:35.86,2:15.19,2:55.09,4:36.32,4:58.73,6:19.99,9:54.68,10:39.81,17:07.47,2.04,,5.77,12.34,15.86,5097.0,3916.0
948,6.74,,,7.65,8.32,8.98,25.51,41.08,57.77,1:16.12,1:44.86,3:56.69,1:35.91,2:15.26,2:55.18,4:36.46,4:58.88,6:20.18,9:55.00,10:40.16,17:08.04,,4.83,7.12,12.33,15.84,5092.0,3912.0
947,,7.3,7.83,,,,25.53,41.1,57.8,1:16.16,1:44.92,3:56.82,1:35.96,2:15.33,2:55.27,4:36.60,4:59.03,6:20.38,9:55.32,10:40.50,17:08.60,,3.96,5.76,12.32,15.82,5087.0,3909.0
946,,,,7.09,8.33,8.99,25.54,41.12,57.83,1:16.20,1:44.98,3:56.95,1:36.01,2:15.39,2:55.35,4:36.74,4:59.18,6:20.57,9:55.64,10:40.85,17:09.17,,,7.11,12.31,15.81,5082.0,3905.0
945,6.75,,,7.66,,8.31,25.55,41.14,57.85,1:16.24,1:45.03,3:57.08,1:36.06,2:15.46,2:55.44,4:36.88,4:59.33,6:20.77,9:55.95,10:41.20,17:09.74,1.72,4.82,,12.3,15.79,5077.0,3901.0
944,6.06,7.31,7.84,,8.34,9.0,25.56,41.16,57.88,1:16.28,1:45.09,3:57.21,1:36.11,2:15.53,2:55.53,4:37.02,4:59.48,6:20.97,9:56.27,10:41.54,17:10.30,,3.95,5.75,12.29,15.78,5072.0,3897.0
943,,,,7.67,,,25.57,41.18,57.91,1:16.32,1:45.15,3:57.34,1:36.16,2:15.60,2:55.62,4:37.16,4:59.64,6:21.16,9:56.59,10:41.89,17:10.87,,,7.1,12.28,15.76,5067.0,3893.0
942,,,,7.1,7.75,9.01,25.58,41.2,57.94,1:16.36,1:45.20,3:57.47,1:36.21,2:15.67,2:55.70,4:37.30,4:59.79,6:21.36,9:56.91,10:42.24,17:11.44,,4.81,5.74,12.27,15.74,5063.0,3890.0
941,6.76,,7.85,,8.35,,25.59,41.22,57.97,1:16.40,1:45.26,3:57.60,1:36.26,2:15.73,2:55.79,4:37.44,4:59.94,6:21.56,9:57.23,10:42.58,17:12.00,,3.94,7.09,12.26,15.73,5058.0,3886.0
940,,7.32,,7.68,,9.02,25.61,41.24,58.0,1:16.44,1:45.32,3:57.73,1:36.31,2:15.80,2:55.88,4:37.57,5:00.09,6:21.75,9:57.55,10:42.93,17:12.57,2.03,4.8,5.73,12.25,15.71,5053.0,3882.0
939,,6.55,7.0,7.11,8.36,8.33,25.62,41.26,58.03,1:16.48,1:45.37,3:57.86,1:36.36,2:15.87,2:55.97,4:37.71,5:00.24,6:21.95,9:57.88,10:43.28,17:13.14,,,7.08,12.24,15.69,5048.0,3878.0
938,6.77,,7.86,7.69,,9.03,25.63,41.28,58.06,1:16.52,1:45.43,3:57.99,1:36.41,2:15.94,2:56.05,4:37.85,5:00.39,6:22.15,9:58.20,10:43.63,17:13.71,,3.93,5.72,12.23,15.68,5043.0,3875.0
937,,7.33,,,8.37,,25.64,41.3,58.08,1:16.56,1:45.49,3:58.13,1:36.46,2:16.01,2:56.14,4:37.99,5:00.55,6:22.35,9:58.52,10:43.97,17:14.28,,4.79,7.07,12.22,15.66,5038.0,3871.0
936,,,,,7.77,9.04,25.65,41.32,58.11,1:16.60,1:45.54,3:58.26,1:36.51,2:16.07,2:56.23,4:38.13,5:00.70,6:22.54,9:58.84,10:44.32,17:14.84,1.71,,5.71,12.21,15.65,5033.0,3867.0
935,,,7.87,7.7,8.38,,25.66,41.34,58.14,1:16.64,1:45.60,3:58.39,1:36.56,2:16.14,2:56.32,4:38.27,5:00.85,6:22.74,9:59.16,10:44.67,17:15.41,,3.92,7.06,12.2,15.63,5028.0,3863.0
934,6.78,7.34,7.01,,,9.05,25.68,41.36,58.17,1:16.68,1:45.66,3:58.52,1:36.61,2:16.21,2:56.40,4:38.41,5:01.00,6:22.94,9:59.48,10:45.02,17:15.98,,4.78,5.7,14.82,15.61,5023.0,3859.0
933,,6.56,,7.71,,8.35,25.69,41.38,58.2,1:16.72,1:45.72,3:58.65,1:36.66,2:16.28,2:56.49,4:38.55,5:01.16,6:23.14,9:59.80,10:45.37,17:16.55,,,7.05,12.19,15.6,5018.0,3856.0
932,6.08,,7.88,,8.39,9.06,25.7,41.4,58.23,1:16.76,1:45.77,3:58.78,1:36.71,2:16.35,2:56.58,4:38.69,5:01.31,6:23.33,10:00.12,10:45.72,17:17.12,2.02,3.91,5.69,12.18,15.58,5014.0,3852.0
931,6.79,7.35,,7.13,,,25.71,41.42,58.26,1:16.79,1:45.83,3:58.91,1:36.76,2:16.42,2:56.67,4:38.83,5:01.46,6:23.53,10:00.45,10:46.07,17:17.69,,,7.04,12.17,15.57,5009.0,3848.0
930,,,,7.72,8.4,9.07,25.72,41.44,58.29,1:16.83,1:45.89,3:59.05,1:36.81,2:16.49,2:56.76,4:38.97,5:01.61,6:23.73,10:00.77,10:46.42,17:18.26,,,,12.16,15.55,5004.0,3844.0
929,,,7.89,,7.79,,25.74,41.46,58.32,1:16.87,1:45.94,3:59.18,1:36.86,2:16.55,2:56.84,4:39.11,5:01.77,6:23.93,10:01.09,10:46.77,17:18.83,,3.9,5.68,12.15,15.53,4999.0,3840.0
928,,6.57,,7.73,8.41,9.08,25.75,41.48,58.34,1:16.91,1:46.00,3:59.31,1:36.91,2:16.62,2:56.93,4:39.25,5:01.92,6:24.13,10:01.41,10:47.11,17:19.41,,,7.03,12.14,15.52,4994.0,3837.0
927,6.8,7.36,,,,8.37,25.76,41.5,58.37,1:16.95,1:46.06,3:59.44,1:36.96,2:16.69,2:57.02,4:39.40,5:02.07,6:24.32,10:01.73,10:47.46,17:19.98,,,5.67,12.13,15.5,4989.0,3833.0
926,6.09,,7.9,,8.42,9.09,25.77,41.52,58.4,1:16.99,1:46.11,3:59.57,1:37.01,2:16.76,2:57.11,4:39.54,5:02.22,6:24.52,10:02.06,10:47.81,17:20.55,1.7,3.89,7.02,12.12,15.49,4984.0,3829.0
925,,,,7.74,,,25.78,41.54,58.43,1:17.03,1:46.17,3:59.71,1:37.06,2:16.83,2:57.20,4:39.68,5:02.38,6:24.72,10:02.38,10:48.16,17:21.12,,,5.66,12.11,15.47,4979.0,3825.0
924,6.81,7.37,,7.15,8.43,9.1,25.79,41.56,58.46,1:17.07,1:46.23,3:59.84,1:37.11,2:16.90,2:57.28,4:39.82,5:02.53,6:24.92,10:02.70,10:48.52,17:21.69,,4.74,7.01,12.1,15.45,4974.0,3822.0
923,,,7.91,7.75,,,25.81,41.58,58.49,1:17.11,1:46.29,3:59.97,1:37.16,2:16.97,2:57.37,4:39.96,5:02.68,6:25.12,10:03.03,10:48.87,17:22.27,2.01,3.88,5.65,12.09,15.44,4969.0,3818.0
922,,6.58,,,7.81,9.11,25.82,41.6,58.52,1:17.15,1:46.34,4:00.10,1:37.21,2:17.03,2:57.46,4:40.10,5:02.84,6:25.32,10:03.35,10:49.22,17:22.84,,,7.0,12.08,15.42,4964.0,3814.0
921,,7.38,,7.16,8.44,8.39,25.83,41.63,58.55,1:17.19,1:46.40,4:00.23,1:37.26,2:17.10,2:57.55,4:40.24,5:02.99,6:25.52,10:03.67,10:49.57,17:23.41,,4.73,5.64,12.07,15.41,4960.0,3810.0
920,6.82,,7.92,7.76,,9.12,25.84,41.65,58.58,1:17.23,1:46.46,4:00.37,1:37.31,2:17.17,2:57.64,4:40.38,5:03.14,6:25.72,10:04.00,10:49.92,17:23.99,,3.87,6.99,12.06,15.39,4955.0,3806.0
919,,,,,8.45,,25.85,41.67,58.6,1:17.27,1:46.52,4:00.50,1:37.36,2:17.24,2:57.73,4:40.52,5:03.30,6:25.92,10:04.32,10:50.27,17:24.56,,,5.63,12.05,15.37,4950.0,3803.0
918,,7.39,7.04,7.77,,9.13,25.86,41.69,58.63,1:17.31,1:46.57,4:00.63,1:37.42,2:17.31,2:57.81,4:40.66,5:03.45,6:26.11,10:04.65,10:50.62,17:25.14,,4.72,6.98,12.04,15.36,4945.0,3799.0
917,6.83,6.59,7.93,7.17,8.46,,25.88,41.71,58.66,1:17.35,1:46.63,4:00.76,1:37.47,2:17.38,2:57.90,4:40.80,5:03.60,6:26.31,10:04.97,10:50.97,17:25.71,,3.86,,12.03,15.34,4940.0,3795.0
916,,,,7.78,7.83,9.14,25.89,41.73,58.69,1:17.39,1:46.69,4:00.90,1:37.52,2:17.45,2:57.99,4:40.95,5:03.76,6:26.51,10:05.30,10:51.33,17:26.29,1.69,4.71,5.62,12.02,15.33,4935.0,3791.0
915,,7.4,,,8.47,8.41,25.9,41.75,58.72,1:17.43,1:46.75,4:01.03,1:37.57,2:17.52,2:58.08,4:41.09,5:03.91,6:26.71,10:05.62,10:51.68,17:26.86,,,,12.01,15.31,4930.0,3787.0
